metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model,datasets,malware,benigno
rfg,defensedroid_apicalls_katz,4940.0,282.0,451.0,4771.0,0.929816162389889,0.9441915693647338,0.9136346227499044,0.928661800486618,0.9298161623898888,0.8600828547954399,609.5924689769745,rf,,,
rfg,defensedroid_apicalls_katz,4852.0,370.0,532.0,4690.0,0.9136346227499044,0.9268774703557312,0.8981233243967829,0.9122738766776892,0.913634622749904,0.8276676156509387,609.5924689769745,knn,,,
rfg,defensedroid_prs,5478.0,497.0,763.0,5212.0,0.8945606694560669,0.9129444736381152,0.8723012552301255,0.8921602191030469,0.8945606694560669,0.7899044933037715,180.1152410507202,svm,,,
rfg,defensedroid_prs,5596.0,379.0,903.0,5072.0,0.8927196652719666,0.9304714731241974,0.8488702928870293,0.8877997549448626,0.8927196652719667,0.788477300116791,180.1152410507202,rf,,,
rfg,defensedroid_prs,5394.0,581.0,849.0,5126.0,0.8803347280334728,0.8981951988785701,0.857907949790795,0.8775894538606404,0.8803347280334727,0.7614357857623536,180.1152410507202,knn,,,
rfg,drebin_215,5314.0,241.0,410.0,5145.0,0.9414041404140414,0.955254363163758,0.9261926192619262,0.9404990403071016,0.9414041404140414,0.8832171113279632,116.05331778526306,svm,,,
rfg,drebin_215,5363.0,192.0,286.0,5269.0,0.956975697569757,0.9648416041018129,0.9485148514851484,0.9566085693536674,0.956975697569757,0.9140822753441784,116.05331778526306,rf,,,
rfg,drebin_215,5260.0,295.0,337.0,5218.0,0.9431143114311432,0.9464901142753492,0.9393339333933394,0.942898445970365,0.9431143114311432,0.8862539545923436,116.05331778526306,knn,,,
rfg,kronodroid_real_device,33183.0,3572.0,7149.0,29606.0,0.8541558971568494,0.8923382964615106,0.8054958509046388,0.8466961234324282,0.8541558971568495,0.7116900922232847,2334.41663146019,svm,,,
rfg,kronodroid_real_device,33309.0,3446.0,7170.0,29585.0,0.8555842742484016,0.8956737610123823,0.804924500068018,0.8478777978391081,0.8555842742484016,0.7148471996807488,2334.41663146019,rf,,,
rfg,kronodroid_real_device,28452.0,8303.0,7186.0,29569.0,0.7892939736090328,0.7807615124630334,0.8044891851448782,0.7924477735940075,0.7892939736090328,0.5788553179314576,2334.41663146019,knn,,,
rfg,mh_100k,11570.0,1151.0,0.0,12721.0,0.9547598459240626,0.9170271049596308,1.0,0.9567179332907156,0.9547598459240626,0.9132656841901275,547.0714366436005,svm,,,
rfg,mh_100k,11607.0,1114.0,128.0,12593.0,0.951183083090952,0.9187276574013278,0.9899378979639966,0.9530043892840926,0.951183083090952,0.905089032930152,547.0714366436005,rf,,,
rfg,mh_100k,11552.0,1169.0,157.0,12564.0,0.9478814558603884,0.9148765746741426,0.9876582029714646,0.9498752551599002,0.9478814558603884,0.8986109709273231,547.0714366436005,knn,,,
