metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model
mt,defensedroid_apicalls_closeness,3518,160,492,3186,0.9113648722131592,0.9521817095038853,0.866231647634584,0.9071753986332574,0.9113648722131592,0.8261021815993892,247.98638129234317,svm
mt,defensedroid_apicalls_closeness,3526,152,343,3335,0.9327079934747146,0.9564095210782908,0.9067427949972812,0.930914166085136,0.9327079934747148,0.8665852646931536,247.98638129234317,rf
mt,defensedroid_apicalls_closeness,3422,256,406,3272,0.910005437737901,0.927437641723356,0.8896139206090267,0.9081321121287816,0.910005437737901,0.8206936712985733,247.98638129234317,knn
mt,defensedroid_apicalls_degree,3421,257,474,3204,0.9006253398586188,0.9257440046229414,0.8711256117455138,0.8976047065415325,0.9006253398586189,0.8026488821696375,261.8551230430603,svm
mt,defensedroid_apicalls_degree,3529,149,342,3336,0.9332517672648178,0.957245337159254,0.9070146818923328,0.9314533016892363,0.9332517672648178,0.8676989793371455,261.8551230430603,rf
mt,defensedroid_apicalls_degree,3357,321,444,3234,0.8960032626427407,0.909704641350211,0.8792822185970636,0.8942347573620905,0.8960032626427405,0.7924497765686288,261.8551230430603,knn
mt,defensedroid_apicalls_katz,3519,159,458,3220,0.9161228928765632,0.9529446581828944,0.8754758020663403,0.912569080345756,0.9161228928765632,0.8350095416961296,300.9720187187195,svm
mt,defensedroid_apicalls_katz,3518,160,356,3322,0.929853181076672,0.9540493968983343,0.9032082653616096,0.9279329608938548,0.929853181076672,0.8609296679345282,300.9720187187195,rf
mt,defensedroid_apicalls_katz,3340,338,387,3291,0.9014410005437736,0.9068613943235052,0.8947797716150081,0.900780073901738,0.9014410005437736,0.8029532614870637,300.9720187187195,knn
mt,defensedroid_prs,3783,417,652,3548,0.8727380952380952,0.8948297604035309,0.8447619047619047,0.8690753214941825,0.8727380952380952,0.7466458571485203,0.4726953506469726,svm
mt,defensedroid_prs,3758,442,616,3584,0.8740476190476191,0.8902136115250869,0.8533333333333334,0.8713834184293703,0.8740476190476192,0.7487380535268576,0.4726953506469726,rf
mt,defensedroid_prs,3517,683,556,3644,0.8525,0.842153917263693,0.8676190476190476,0.8546968453148821,0.8525,0.7053225268891474,0.4726953506469726,knn
mt,drebin_215,6293,340,680,5953,0.9231117141564904,0.9459717146035276,0.8974822855419871,0.9210892774253444,0.9231117141564904,0.8473373373902563,0.6259841918945312,svm
mt,drebin_215,6426,207,651,5982,0.9353233830845772,0.9665535627726612,0.9018543645409316,0.9330837622835751,0.9353233830845772,0.8726038994618206,0.6259841918945312,rf
mt,drebin_215,5911,722,359,6274,0.9185134931403588,0.8967981703830761,0.9458766772199608,0.9206838359380732,0.9185134931403588,0.8382832464420001,0.6259841918945312,knn
mt,kronodroid_real_device,27182,1785,1839,27128,0.9374460593088688,0.9382630650572408,0.93651396416612,0.9373876986869384,0.9374460593088688,0.8748936388366162,4.30616021156311,svm
mt,kronodroid_real_device,27507,1460,1585,27382,0.9474401905616736,0.9493793772969974,0.945282562916422,0.9473265408500406,0.9474401905616736,0.8948887132151062,4.30616021156311,rf
mt,kronodroid_real_device,26703,2264,1673,27294,0.932043359685159,0.923404831179376,0.942244623191908,0.9327296027338744,0.932043359685159,0.8642666192484536,4.30616021156311,knn
mt,mh_100k,54276,8172,5104,57344,0.8937035613630541,0.8752671103241956,0.9182679989751472,0.8962520708949392,0.8937035613630541,0.7883591075652107,67.53834366798401,svm
mt,mh_100k,54964,7484,3698,58750,0.9104695106328464,0.8870066733097804,0.9407827312323852,0.9131036197758816,0.9104695106328466,0.8224519005803138,67.53834366798401,rf
mt,mh_100k,53446,9002,3946,58502,0.8963297463489623,0.8666449395591372,0.9368114271073532,0.9003632110317655,0.8963297463489623,0.7952703028656746,67.53834366798401,knn
rfg,adroit,5313,327,1377,4263,0.8489361702127659,0.9287581699346406,0.7558510638297873,0.8334310850439882,0.848936170212766,0.7102899799126751,102.04000282287598,svm
rfg,adroit,5338,302,1396,4244,0.8494680851063829,0.9335679718433788,0.7524822695035461,0.8333006086785785,0.849468085106383,0.7124679756154492,102.04000282287598,rf
rfg,adroit,4783,857,1234,4406,0.814627659574468,0.8371651149534486,0.7812056737588653,0.808217921672934,0.814627659574468,0.6306658407447875,102.04000282287598,knn
rfg,androcrawl,56637,3956,7372,53221,0.9065238558909444,0.930811340224216,0.8783357813608833,0.9038125159208626,0.9065238558909444,0.8143428424570566,3525.820740938186,svm
rfg,androcrawl,56729,3864,7426,53167,0.9068374234647568,0.9322473742350652,0.877444589308996,0.9040161871726858,0.9068374234647566,0.81508443174654,3525.820740938186,rf
rfg,androcrawl,49791,10802,6891,53702,0.8540012872774083,0.832537517053206,0.8862739920452858,0.8585657529756908,0.8540012872774083,0.7094820070365049,3525.820740938186,knn
rfg,android_permissions,8030,4420,7507,4943,0.5210040160642571,0.5279290825590088,0.3970281124497992,0.4532159721267134,0.5210040160642571,0.0433621287204058,354.257670879364,svm
rfg,android_permissions,8072,4378,7528,4922,0.521847389558233,0.529247311827957,0.3953413654618474,0.4525977011494252,0.521847389558233,0.045164283645729,354.257670879364,rf
rfg,android_permissions,4363,8087,3931,8519,0.5173493975903615,0.5130073467421414,0.6842570281124498,0.5863849118942731,0.5173493975903615,0.0368102879297252,354.257670879364,knn
rfg,defensedroid_apicalls_closeness,3417,261,518,3160,0.894100054377379,0.923706518561824,0.8591625883632409,0.890266234680941,0.8941000543773789,0.7901313796504826,429.5156931877136,svm
rfg,defensedroid_apicalls_closeness,3521,157,364,3314,0.929173463839043,0.954768078363584,0.9010331702011964,0.92712267449993,0.9291734638390428,0.859709574556256,429.5156931877136,rf
rfg,defensedroid_apicalls_closeness,3414,264,449,3229,0.9030723219140836,0.924420269109648,0.8779227841218054,0.9005717473155767,0.9030723219140838,0.807166354698612,429.5156931877136,knn
rfg,defensedroid_apicalls_degree,3239,439,476,3202,0.8756117455138662,0.8794287283713266,0.8705818379554106,0.8749829211640935,0.8756117455138662,0.7512615057767155,390.7093393802643,svm
